"SXD021.Code.or.Value","SXD021.Value.Description","SXD021.Count","SXD021.Cumulative","SXD021.Skip.to.Item"
"1","Yes",3985,3985,NA
"2","No",261,4246,NA
"7","Refused",2,4248,NA
"9","Don't know",0,4248,NA
".","Missing",595,4843,NA
