"WBXA092.Code.or.Value","WBXA092.Value.Description","WBXA092.Count","WBXA092.Cumulative","WBXA092.Skip.to.Item"
"-5.7343 to 1","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
