"TBQ010.Code.or.Value","TBQ010.Value.Description","TBQ010.Count","TBQ010.Cumulative","TBQ010.Skip.to.Item"
"1","Yes",4955,4955,""
"2","No",2876,7831,"TBQ040"
"7","Refused",3,7834,"TBQ040"
"9","Don't know",327,8161,"TBQ040"
".","Missing",0,8161,""
