"MGQ120.Code.or.Value","MGQ120.Value.Description","MGQ120.Count","MGQ120.Cumulative","MGQ120.Skip.to.Item"
"1","Yes",112,112,NA
"2","No",643,755,NA
"7","Refused",0,755,NA
"9","Don't know",0,755,NA
".","Missing",7536,8291,NA
