"CIQP13F.Code.or.Value","CIQP13F.Value.Description","CIQP13F.Count","CIQP13F.Cumulative","CIQP13F.Skip.to.Item"
"1","Yes",10,10,NA
"2","No",98,108,NA
"7","Refused",0,108,NA
"9","Don't know",0,108,NA
".","Missing",742,850,NA
