"SSGI4OD2.Code.or.Value","SSGI4OD2.Value.Description","SSGI4OD2.Count","SSGI4OD2.Cumulative","SSGI4OD2.Skip.to.Item"
"0.002 to 3.5","Range of Values",1034,1034,NA
".","Missing",2,1036,NA
