"SXQ510.Code.or.Value","SXQ510.Value.Description","SXQ510.Count","SXQ510.Cumulative","SXQ510.Skip.to.Item"
"0 to 45","Range of Values",1346,1346,NA
"77777","Refused",3,1349,NA
"99999","Don't know",3,1352,NA
".","Missing",3273,4625,NA
