"RFXC162.Code.or.Value","RFXC162.Value.Description","RFXC162.Count","RFXC162.Cumulative","RFXC162.Skip.to.Item"
"-3.867 to 4.335","Range of Values",33667,33667,NA
".","Missing",54,33721,NA
