"URDMONLC.Code.or.Value","URDMONLC.Value.Description","URDMONLC.Count","URDMONLC.Cumulative","URDMONLC.Skip.to.Item"
"0","At or above detection limit",2407,2407,NA
"1","Below lower detection limit",355,2762,NA
".","Missing",224,2986,NA
