"OSD030ce.Code.or.Value","OSD030ce.Value.Description","OSD030ce.Count","OSD030ce.Cumulative","OSD030ce.Skip.to.Item"
"58","58",1,1,NA
"80","80 or older",0,1,NA
"77777","Refused",0,1,NA
"99999","Don't know",0,1,NA
".","Missing",3068,3069,NA
