"LBDSSESI.Code.or.Value","LBDSSESI.Value.Description","LBDSSESI.Count","LBDSSESI.Cumulative","LBDSSESI.Skip.to.Item"
"0.74 to 2.77","Range of Values",2436,2436,NA
".","Missing",256,2692,NA
