"PUD072.Code.or.Value","PUD072.Value.Description","PUD072.Count","PUD072.Cumulative","PUD072.Skip.to.Item"
"1","One time only",669,669,NA
"2","Two or more times",206,875,NA
".","Missing",9247,10122,NA
