"SEQ070.Code.or.Value","SEQ070.Value.Description","SEQ070.Count","SEQ070.Cumulative","SEQ070.Skip.to.Item"
"4 to 40","Range of Values",279,279,NA
"99","Don't know",5,284,NA
".","Missing",8548,8832,NA
