"AUXRR140.Code.or.Value","AUXRR140.Value.Description","AUXRR140.Count","AUXRR140.Cumulative","AUXRR140.Skip.to.Item"
"-30 to 83","Range of Values",3836,3836,NA
".","Missing",664,4500,NA
