"LBXCD2.Code.or.Value","LBXCD2.Value.Description","LBXCD2.Count","LBXCD2.Cumulative","LBXCD2.Skip.to.Item"
"1","No inducible resistance detected",0,0,NA
"2","Inducible resistance detected",0,0,NA
"3","No result",0,0,NA
".","Missing",9179,9179,NA
