"WBXA107.Code.or.Value","WBXA107.Value.Description","WBXA107.Count","WBXA107.Cumulative","WBXA107.Skip.to.Item"
"-19.8292 to 1","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
