"SSD021A.Code.or.Value","SSD021A.Value.Description","SSD021A.Count","SSD021A.Cumulative","SSD021A.Skip.to.Item"
"10","Spouse",817,817,NA
"77","Refused",2,819,NA
"99","Don't know",0,819,NA
".","Missing",1053,1872,NA
