"CBD150.Code.or.Value","CBD150.Value.Description","CBD150.Count","CBD150.Cumulative","CBD150.Skip.to.Item"
"0 to 300","Range of Values",10358,10358,NA
"77777","Refused",15,10373,NA
"99999","Don't know",37,10410,NA
".","Missing",127,10537,NA
