"DXXPT57Y.Code.or.Value","DXXPT57Y.Value.Description","DXXPT57Y.Count","DXXPT57Y.Cumulative","DXXPT57Y.Skip.to.Item"
"98.5 to 306.2","Range of Values",3241,3241,NA
".","Missing",467,3708,NA
