"DXXOSBCC.Code.or.Value","DXXOSBCC.Value.Description","DXXOSBCC.Count","DXXOSBCC.Cumulative","DXXOSBCC.Skip.to.Item"
"0","Valid data",1274,1274,NA
"1","Invalid data",1199,2473,NA
".","Missing",425,2898,NA
