"FSD225.Code.or.Value","FSD225.Value.Description","FSD225.Count","FSD225.Cumulative","FSD225.Skip.to.Item"
"0 to 300","Range of Values",2282,2282,NA
"55555","More than 300 days",16,2298,NA
"77777","Refused",21,2319,NA
"99999","Don't know",242,2561,NA
".","Missing",6693,9254,NA
