"URD6DALC.Code.or.Value","URD6DALC.Value.Description","URD6DALC.Count","URD6DALC.Cumulative","URD6DALC.Skip.to.Item"
"0","At or above detection limit",46,46,NA
"1","Below lower detection limit",2384,2430,NA
".","Missing",849,3279,NA
