"DXXPT89Y.Code.or.Value","DXXPT89Y.Value.Description","DXXPT89Y.Count","DXXPT89Y.Cumulative","DXXPT89Y.Skip.to.Item"
"143.3 to 360.6","Range of Values",3241,3241,NA
".","Missing",467,3708,NA
