"BAXPFC11.Code.or.Value","BAXPFC11.Value.Description","BAXPFC11.Count","BAXPFC11.Cumulative","BAXPFC11.Skip.to.Item"
"1","Pass",2476,2476,"BAXPFC21"
"2","Dnp(did not pass)",11,2487,""
".","Missing",599,3086,""
