"OPXDQUAL.Code.or.Value","OPXDQUAL.Value.Description","OPXDQUAL.Count","OPXDQUAL.Cumulative","OPXDQUAL.Skip.to.Item"
"0","Excellent",59,59,NA
"1","Good",253,312,NA
"2","Fair",84,396,NA
"3","Poor",16,412,NA
"4","Ungradable",6,418,NA
".","Missing",3445,3863,NA
