"OPX1OS14.Code.or.Value","OPX1OS14.Value.Description","OPX1OS14.Count","OPX1OS14.Cumulative","OPX1OS14.Skip.to.Item"
"0","None",35,35,NA
"6","p >= 5% 1st presentation",2689,2724,NA
"7","p >= 5% 2nd presentation",250,2974,NA
"8","p < 5%",145,3119,NA
"9","p < 2%",86,3205,NA
"10","p < 1%",147,3352,NA
".","Missing",511,3863,NA
