"WTSPH22.Code.or.Value","WTSPH22.Value.Description","WTSPH22.Count","WTSPH22.Cumulative","WTSPH22.Skip.to.Item"
"0 to 784232.96861","Range of Values",1894,1894,NA
".","Missing",0,1894,NA
