"PAQ759b.Code.or.Value","PAQ759b.Value.Description","PAQ759b.Count","PAQ759b.Cumulative","PAQ759b.Skip.to.Item"
"2","BASKETBALL",267,267,NA
".","Missing",8988,9255,NA
