"OHD12LAS.Code.or.Value","OHD12LAS.Value.Description","OHD12LAS.Count","OHD12LAS.Cumulative","OHD12LAS.Skip.to.Item"
"0 to 6","Range of Values",2121,2121,NA
"99","Calculation cannot be determined",433,2554,NA
".","Missing",4164,6718,NA
