"WBXA043.Code.or.Value","WBXA043.Value.Description","WBXA043.Count","WBXA043.Cumulative","WBXA043.Skip.to.Item"
"-8.1463 to 1","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
