"SSAFBLC.Code.or.Value","SSAFBLC.Value.Description","SSAFBLC.Count","SSAFBLC.Cumulative","SSAFBLC.Skip.to.Item"
"0","detectable result",26,26,NA
"1","below detectable limit",1857,1883,NA
".","Missing",11,1894,NA
