"BIXC060K.Code.or.Value","BIXC060K.Value.Description","BIXC060K.Count","BIXC060K.Cumulative","BIXC060K.Skip.to.Item"
"32.93 to 193.29","Range of Values",4298,4298,NA
".","Missing",1031,5329,NA
