"LBXMFOS.Code.or.Value","LBXMFOS.Value.Description","LBXMFOS.Count","LBXMFOS.Cumulative","LBXMFOS.Skip.to.Item"
"0.07 to 19.3","Range of Values",1929,1929,NA
".","Missing",204,2133,NA
