"RHQ240A.Code.or.Value","RHQ240A.Value.Description","RHQ240A.Count","RHQ240A.Cumulative","RHQ240A.Skip.to.Item"
"10","Job-scheduling difficulties",133,133,NA
"77","Refused",0,133,NA
"99","Don't know",1,134,NA
".","Missing",3731,3865,NA
