"WTSPH08.Code.or.Value","WTSPH08.Value.Description","WTSPH08.Count","WTSPH08.Cumulative","WTSPH08.Skip.to.Item"
"0 to 779055.05256","Range of Values",1894,1894,NA
".","Missing",0,1894,NA
