"LB2SCASI.Code.or.Value","LB2SCASI.Value.Description","LB2SCASI.Count","LB2SCASI.Cumulative","LB2SCASI.Skip.to.Item"
"2.025 to 2.85","Range of Values",544,544,NA
".","Missing",2,546,NA
