"MCQ240w.Code.or.Value","MCQ240w.Value.Description","MCQ240w.Count","MCQ240w.Cumulative","MCQ240w.Skip.to.Item"
"27 to 79","Range of Values",80,80,NA
"80","80 years or older",2,82,NA
"77777","Refused",0,82,NA
"99999","Don't know",0,82,NA
".","Missing",9493,9575,NA
