"URDMHPLC.Code.or.Value","URDMHPLC.Value.Description","URDMHPLC.Count","URDMHPLC.Cumulative","URDMHPLC.Skip.to.Item"
"0","At or above the detection limit",1553,1553,NA
"1","Below lower detection limit",1209,2762,NA
".","Missing",224,2986,NA
