"SXD030.Code.or.Value","SXD030.Value.Description","SXD030.Count","SXD030.Cumulative","SXD030.Skip.to.Item"
"10 to 37","Range of Values",2498,2498,NA
"9","9 or younger",39,2537,NA
"777","Refused",7,2544,NA
"999","Don't know",4,2548,NA
".","Missing",444,2992,NA
