"LBD087LC.Code.or.Value","LBD087LC.Value.Description","LBD087LC.Count","LBD087LC.Cumulative","LBD087LC.Skip.to.Item"
"0","At or above the detection limit",40,40,NA
"1","Below lower detection limit",224,264,NA
".","Missing",0,264,NA
