"DRXTS180.Code.or.Value","DRXTS180.Value.Description","DRXTS180.Count","DRXTS180.Cumulative","DRXTS180.Skip.to.Item"
"0 to 58.219","Range of Values",9701,9701,NA
".","Missing",776,10477,NA
