"PSQ220.Code.or.Value","PSQ220.Value.Description","PSQ220.Count","PSQ220.Cumulative","PSQ220.Skip.to.Item"
"1","True",19,19,NA
"2","False",0,19,NA
"7","Refused",0,19,NA
"9","Don't know",5,24,NA
".","Missing",28,52,NA
