"PAQ759t.Code.or.Value","PAQ759t.Value.Description","PAQ759t.Count","PAQ759t.Cumulative","PAQ759t.Skip.to.Item"
"20","TRAMPOLINE",11,11,NA
".","Missing",9244,9255,NA
