"LBCMIRLA.Code.or.Value","LBCMIRLA.Value.Description","LBCMIRLA.Count","LBCMIRLA.Cumulative","LBCMIRLA.Skip.to.Item"
"0.4243 to 37.16","Range of Values",265,265,NA
".","Missing",0,265,NA
