"RFXT036.Code.or.Value","RFXT036.Value.Description","RFXT036.Count","RFXT036.Cumulative","RFXT036.Skip.to.Item"
"301 to 310","Range of Values",33704,33704,NA
".","Missing",17,33721,NA
