"LB2THG.Code.or.Value","LB2THG.Value.Description","LB2THG.Count","LB2THG.Cumulative","LB2THG.Skip.to.Item"
"0.3 to 0.8","Range of Values",7,7,NA
".","Missing",544,551,NA
