"LBDVDELC.Code.or.Value","LBDVDELC.Value.Description","LBDVDELC.Count","LBDVDELC.Cumulative","LBDVDELC.Skip.to.Item"
"0","At or above detection limit",0,0,NA
"1","Below lower detection limit",2866,2866,NA
".","Missing",306,3172,NA
