"URXGLP2.Code.or.Value","URXGLP2.Value.Description","URXGLP2.Count","URXGLP2.Cumulative","URXGLP2.Skip.to.Item"
"0.59 to 2.16","Range of Values",2451,2451,NA
".","Missing",154,2605,NA
