"WTSPH36.Code.or.Value","WTSPH36.Value.Description","WTSPH36.Count","WTSPH36.Cumulative","WTSPH36.Skip.to.Item"
"0 to 779052.74392","Range of Values",1894,1894,NA
".","Missing",0,1894,NA
