"ECQ100.Code.or.Value","ECQ100.Value.Description","ECQ100.Count","ECQ100.Cumulative","ECQ100.Skip.to.Item"
"1","Yes",2173,2173,""
"2","No",1646,3819,"FSQ121"
"7","Refused",0,3819,"FSQ121"
"9","Don't know",8,3827,"FSQ121"
".","Missing",82,3909,""
