"WTIREP32.Code.or.Value","WTIREP32.Value.Description","WTIREP32.Count","WTIREP32.Cumulative","WTIREP32.Skip.to.Item"
"0 to 232851.32047","Range of Values",9965,9965,NA
".","Missing",0,9965,NA
