"WBXF068.Code.or.Value","WBXF068.Value.Description","WBXF068.Count","WBXF068.Cumulative","WBXF068.Skip.to.Item"
"2593.6791 to 2593.6791","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
