"LBXF01.Code.or.Value","LBXF01.Value.Description","LBXF01.Count","LBXF01.Cumulative","LBXF01.Skip.to.Item"
"5.52 to 184.1","Range of Values",1868,1868,NA
".","Missing",417,2285,NA
