"SSII4NOM.Code.or.Value","SSII4NOM.Value.Description","SSII4NOM.Count","SSII4NOM.Cumulative","SSII4NOM.Skip.to.Item"
"0.011 to 3.5","Range of Values",1029,1029,NA
".","Missing",7,1036,NA
