"LBX153LA.Code.or.Value","LBX153LA.Value.Description","LBX153LA.Count","LBX153LA.Cumulative","LBX153LA.Skip.to.Item"
"1.05 to 986","Range of Values",1896,1896,NA
".","Missing",389,2285,NA
