"DX2RRBMD.Code.or.Value","DX2RRBMD.Value.Description","DX2RRBMD.Count","DX2RRBMD.Cumulative","DX2RRBMD.Skip.to.Item"
"0.472 to 0.982","Range of Values",443,443,NA
".","Missing",42,485,NA
