"OSD110j.Code.or.Value","OSD110j.Value.Description","OSD110j.Count","OSD110j.Cumulative","OSD110j.Skip.to.Item"
"80","80 or older",0,0,NA
"777","Refused",0,0,NA
"999","Don't know",1,1,NA
".","Missing",3068,3069,NA
