"LB2HGB.Code.or.Value","LB2HGB.Value.Description","LB2HGB.Count","LB2HGB.Cumulative","LB2HGB.Skip.to.Item"
"8.3 to 19.1","Range of Values",551,551,NA
".","Missing",6,557,NA
