"LBCTC2LA.Code.or.Value","LBCTC2LA.Value.Description","LBCTC2LA.Count","LBCTC2LA.Cumulative","LBCTC2LA.Skip.to.Item"
"0.5374 to 6.762","Range of Values",295,295,NA
".","Missing",6,301,NA
