"LB2HDLSI.Code.or.Value","LB2HDLSI.Value.Description","LB2HDLSI.Count","LB2HDLSI.Cumulative","LB2HDLSI.Skip.to.Item"
"0.57 to 2.84","Range of Values",542,542,NA
".","Missing",2,544,NA
