"BIXS649K.Code.or.Value","BIXS649K.Value.Description","BIXS649K.Count","BIXS649K.Cumulative","BIXS649K.Skip.to.Item"
"44.34 to 821.27","Range of Values",4298,4298,NA
".","Missing",1031,5329,NA
