"SSNUHOMP.Code.or.Value","SSNUHOMP.Value.Description","SSNUHOMP.Count","SSNUHOMP.Cumulative","SSNUHOMP.Skip.to.Item"
"0 to 1","Range of Values",4265,4265,NA
".","Missing",0,4265,NA
