"TYXP241.Code.or.Value","TYXP241.Value.Description","TYXP241.Count","TYXP241.Cumulative","TYXP241.Skip.to.Item"
"-296 to 134","Range of Values",95,95,NA
".","Missing",5490,5585,NA
