"LBX066.Code.or.Value","LBX066.Value.Description","LBX066.Count","LBX066.Cumulative","LBX066.Skip.to.Item"
"0.001 to 0.7217","Range of Values",1898,1898,NA
".","Missing",387,2285,NA
